Ссылка,Изображение,Название,Старая цена,Новая цена,Автор
https://www.chitai-gorod.ru/product/metro-2033-chast-1-2-2922749,https://content.img-gorod.ru/pim/products/images/32/6d/018fa280-7ee2-72ec-aa91-4c27dc21326d.jpg,"Метро 2033. Часть 1, 2",1 429 ₽,1 196 ₽,Дмитрий Глуховский

https://www.chitai-gorod.ru/product/ottenki-magii-stalnoy-princ-noch-kinzhalov-2841533,https://content.img-gorod.ru/pim/products/images/43/9f/018f5f1f-6736-789e-a7d3-1209152c439f.jpg,Оттенки магии. Стальной принц. Ночь кинжалов,1 249 ₽,349 ₽,Виктория Шваб

https://www.chitai-gorod.ru/product/fantonik-tom-1-3033892,https://content.img-gorod.ru/pim/products/images/c9/21/018fb0f6-5a9c-74da-afbc-37a066b2c921.jpg,Фантоник. Том 1,989 ₽,806 ₽,Дарья Кайдалова

https://www.chitai-gorod.ru/product/ekslibrium-zhizn-vtoraya-tom-9-budushchee-svetlo-kniga-komiksov-3022091,https://content.img-gorod.ru/pim/products/images/e5/21/019002f7-ff7b-740f-9e9d-16e824e7e521.jpg,Экслибриум. Жизнь вторая. Том 9: Будущее — светло: книга комиксов,,829 ₽,"Анастасия Афонина, Рене Бартанг, Наталия Девова"

https://www.chitai-gorod.ru/product/w-i-t-c-h-chast-1-dvenadcat-portalov-tom-2-2843226,https://content.img-gorod.ru/pim/products/images/32/29/018f5f38-5542-701e-a123-d0155a1b3229.jpg,W.I.T.C.H. Часть 1. Двенадцать порталов. Том 2,1 759 ₽,1 508 ₽,Элизабетта Ньоне

https://www.chitai-gorod.ru/product/temnyy-prizyvatel-vypusk-1-3009046,https://content.img-gorod.ru/pim/products/images/bf/7b/018f61e6-6bdb-7124-80df-3e7e795cbf7b.jpg,Тёмный призыватель. Выпуск 1,1 450 ₽,1 208 ₽,Андрей Ткачев

https://www.chitai-gorod.ru/product/w-i-t-c-h-chast-5-kniga-stihiy-tom-1-3007013,https://content.img-gorod.ru/pim/products/images/5e/82/018f61b1-3e0f-7cbc-9fa2-78b540a85e82.jpg,W.I.T.C.H. Часть 5. Книга стихий. Том 1,1 649 ₽,1 411 ₽,Элизабетта Ньоне

https://www.chitai-gorod.ru/product/prizrachnyy-gonshchik-3023097,https://content.img-gorod.ru/pim/products/images/2f/ff/018f61e3-43be-77b7-9d8a-bf4b5b0c2fff.jpg,Призрачный Гонщик,2 199 ₽,1 898 ₽,Гарт Эннис

https://www.chitai-gorod.ru/product/zasnezhennoe-nebo-3022696,https://content.img-gorod.ru/pim/products/images/a7/17/018fa311-2a9a-7392-93f2-37fc8307a717.jpg,Заснеженное небо,719 ₽,579 ₽,Кэтрин Рэй

https://www.chitai-gorod.ru/product/ekai-i-bakemono-putevoditel-po-miru-yaponskih-duhov-3009753,https://content.img-gorod.ru/pim/products/images/75/5e/018fb0da-3e4d-7aaa-ab2f-6e418786755e.jpg,Ёкаи и бакэмоно. Путеводитель по миру японских духов,1 539 ₽,1 307 ₽,Марга Биацци

https://www.chitai-gorod.ru/product/sultan-suleyman-velichayshiy-pravitel-osmanskoy-imperii-biografiya-v-komiksah-2762525,https://content.img-gorod.ru/pim/products/images/8a/b9/018f5dad-905a-7824-b2a2-c8d90b1b8ab9.jpg,Султан Сулейман. Величайший правитель Османской империи. Биография в комиксах,849 ₽,254 ₽,Кремер Бруно

https://www.chitai-gorod.ru/product/ekslibrium-t-5-vot-dom-kotoryy-2625656,https://content.img-gorod.ru/pim/products/images/56/d4/018edef9-4352-71cb-9db5-c4aaf4fd56d4.jpg,"Экслибриум Т.5 Вот дом, который",829 ₽,568 ₽,Наталия Девова

https://www.chitai-gorod.ru/product/w-i-t-c-h-chast-5-kniga-stihiy-tom-2-3007014,https://content.img-gorod.ru/pim/products/images/e7/e0/018f61b1-81c7-795b-b469-1bd6b746e7e0.jpg,W.I.T.C.H. Часть 5. Книга стихий. Том 2,1 649 ₽,1 411 ₽,Элизабетта Ньоне

